DNABANK;GENUS;SPECIES;LOCALIDAD;POB_CODE;y;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8153;RHAMNUS;R. alaternus;Camino a Bandama. El Cabezo;RalaCABEZO;28.04372222;-15.4693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8465-8473;RHAMNUS;R. glandulosa;Finca de Samsó. núcleo 1. barranco del Chorro.  encima de San Pedro. cerca del lomo de la deferencia;RglCSAMSO;28.06476667;-15.6769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8440-8450;RHAMNUS;R. glandulosa;Finca de Samsó. núcleo 2 al lado del camino que pasa por casa abandonada;RglCSAMSO;28.06339444;-15.6793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8451-8464;RHAMNUS;R. glandulosa;Finca de Samsó. núcleo 3 al lado de la presa;RglCSAMSO;28.06544444;-15.6832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8496-8498;RHAMNUS;R. glandulosa;Finca de Samsó. nucleo aislado;RglCSAMSO;28.06458611;-15.6875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7056-7057;RHAMNUS;R. glandulosa;Tamadaba. Las Presas;RglCTAMAD;28.068925;-15.6826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10901-10906//11600;RHAMNUS;R. glandulosa;A 12 km de San Sebastian. en la Ctra a los cedros (Ctra del Rejo);RglGREJO;28.13253056;-17.2031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10914-10929;RHAMNUS;R. glandulosa;Cruce a 0.2 Km de Laguna Grande;RglGLAGU;28.12828056;-17.2559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10888-10900;RHAMNUS;R. glandulosa;Pista en la Mesa de Vallehermoso (I);RglGVALLE;28.20109444;-17.2813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11669-11693;RHAMNUS;R. glandulosa;Pista en la Mesa de Vallehermoso (II);RglGVALLE;28.19757778;-17.2823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10823-10828;RHAMNUS;R. glandulosa;Entre Los Tilos y puente de Los Sauces;RglPTILOS;28.79774722;-17.7769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10829-10840;RHAMNUS;R. glandulosa;Lomo de Los Gomeros.  Mirca;RglPMIRCA;28.70423889;-17.7788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8866-8871;RHAMNUS;R. glandulosa;Barranco de Badajoz. Güimar;RglTBADAJ;28.29880556;-16.4561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8800;RHAMNUS;R. glandulosa;Barranco del Agua;RglTBAGUA;28.31030556;-16.4550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8708-8722;RHAMNUS;R. glandulosa;Carretera EL Bailadero-Pijaral ;RglTBAILA;28.55199444;-16.1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8154-8155;RHAMNUS;R.  crenulata;Camino a Bandama. El Cabezo;RcreCBANDA;28.04372222;-15.4693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7999-8003;RHAMNUS;R.  crenulata;Montaña de Guía sobre Anzofé;RcreCMGUIA;28.12822778;-15.6377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7987-7990//7992-7998;RHAMNUS;R.  crenulata;Siete Puertas (Tafira);RcreCTAFIRA;28.06198333;-15.4829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4288-4290/ 18817-18820;RHAMNUS;R.  crenulata;Pico de La Palma;RcreFPALMA;28.100526;-14.3613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18806-18813;RHAMNUS;R.  crenulata;Pico de la Zarza;RcreFZARZA;28.101004;-14.3574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
